繰上不可(×）,依頼日,品目コード,品名,入目,予定数量(㎏),納期,チケットＮＯ
2024-02-26 00:00:00,2024-01-30,25407942000,ｴｰｽﾎｲｯﾌﾟV45(10K),10.0,6000,20240304,
2024-02-17 00:00:00,2024-01-30,25411543000,ﾃﾞｻﾞｰﾄｸﾘｰﾑV35RN,10.0,10500,20240220,
2024-02-19 00:00:00,2024-01-30,25411643000,ﾃﾞｻﾞｰﾄｸﾘｰﾑV30RN,10.0,10500,20240222,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240226,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240226,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,6200,20240226,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240304,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240304,
,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,6200,20240304,
2024-03-01 00:00:00,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240311,
2024-03-01 00:00:00,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,10500,20240311,
2024-03-01 00:00:00,2024-01-30,25415843000,ﾃﾞｻﾞ-ﾄｸﾘ-ﾑDO,10.0,6200,20240311,
2024-02-19 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,10500,20240224,
2024-02-19 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,10500,20240224,
2024-02-19 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,6200,20240224,
2024-02-26 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,10500,20240304,
2024-02-26 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,10500,20240304,
2024-02-26 00:00:00,2024-01-30,25415943000,ｴ-ｽﾎｲﾂﾌﾟV30,10.0,6200,20240304,
2024-03-01 00:00:00,2024-01-30,25416442000,ｽﾍﾟｼｬﾙﾎｲｯﾌﾟ-TL 10K,10.0,10500,20240309,
,2024-01-30,25420142000,ﾌﾞﾚﾝﾄﾞﾎｲﾂﾌﾟFD,10.0,10500,20240222,
,2024-01-30,25420142000,ﾌﾞﾚﾝﾄﾞﾎｲﾂﾌﾟFD,10.0,10500,20240222,
,2024-01-30,25420142000,ﾌﾞﾚﾝﾄﾞﾎｲﾂﾌﾟFD,10.0,6200,20240222,
