品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot
25224321060,PVｼﾖ-ﾄ(B) (6),1205,ＳＶ,15,8000,,,,,,,8000,20220609,K-202205-0877,,20220609,1,
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,20220609,K-202205-1410,,,2,
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15,8000,,,,,,,12700,20220610,K-202205-0251,,,3,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220610,K-202205-0881,,,,
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,12700,20220610,K-202205-0274,,,,
25282821000,ﾘｽｵｲﾙ,1205,ＳＶ,15,8000,,,,,,,12700,20220610,K-202205-0322,,,,
25225523040,ICｼﾖ-ﾄ 12K(4),1205,ＳＶ,12,5400,,,,,,,6000,20220611,K-202205-0053,,,,
25211221060,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (6),1205,ＳＶ,15,8000,〇,,,,,,12700,20220611,K-202205-0327,,,,
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,20220612,K-202205-0240,副原料添加なし初回限定,,,
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15,8000,〇,,,,,,12700,20220613,K-202205-0879,,,,
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,20220613,K-202205-1414,,,,
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,20220613,K-202205-0272,副原料添加なし初回限定,,,
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,20220613,K-202205-0355,,,,
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15,8000,,,,,,,12700,20220613,K-202205-0253,,,,
25224321040,PVｼﾖ-ﾄ(B) (4),1205,ＳＶ,15,8000,,,,,,,12700,20220613,K-202206-0142,,,,
25223325020,ｱﾒﾘｶｰﾅDX-TL,1205,ＳＶ,10,5400,,,,〇,,,6000,20220613,K-202205-1407,初回限定,,,
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,20220613,K-202205-0257,,,,
26632521040,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,6000,20220613,K-202205-0275,,,,
25213221850,ﾁｴｽﾀ-77(H),1205,ＳＶ,15,8000,〇,,,,,,4000,20220613,K-202205-0243,,,,
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15,8000,,,,,,,12700,20220613,K-202205-1411,,,,
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15,8000,,,,〇,,,12700,20220613,K-202205-0238,副原料添加なし初回限定,,,
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10,5400,,,,,,,6000,20220613,K-202205-0264,,,,
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,20220614,K-202205-1500,,,,
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15,8000,,低沃素価,,,,,12700,20220614,K-202205-1475,,,,
25220221000,ｼｮｰﾄﾆﾝｸﾞCC,1205,ＳＶ,15,8000,,,,,,,12700,20220614,K-202206-0035,,,,
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15,8000,〇,,,,,,12700,20220615,K-202206-0031,,,,
25134723850,IKｼﾖ-ﾄ(M),1205,ＳＶ,15,8000,,,,,,,12700,20220615,K-202205-1469,,,,
25802121000,MB-ｸﾂｷ-ﾄNT-K3,1205,ＳＶ,15,8000,〇,,,,,,6000,20220615,K-202205-1441,,,,
