繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,納期_copy,firsts,lasts,last_first,time_taken,SV_time_taken,SP_time_taken,no_renzoku_seisan,clean_time,kouyousoka_maya,arerukon_maya,weight_limit,only_two,mc_renzo,stretch_flag
,2024-01-30,25217621380,15.0,12700,2024-02-17,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-02-16,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-02-27,25217621380,15.0,12700,2024-03-16,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-03-15,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-03-06,25217621380,15.0,6000,2024-03-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-03-29,0,0,1,0,45,0,0,0,0,0,0,0,0,0
,2024-03-27,25217621380,15.0,12700,2024-04-17,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-04-17,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-04-03,25217621380,15.0,12700,2024-05-13,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-05-13,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-04-04,25217621380,15.0,12700,2024-04-22,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-04-22,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-04-11,25217621380,15.0,12700,2024-04-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-04-30,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-04-22,25217621380,15.0,12700,2024-05-20,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-05-20,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-04-22,25217621380,15.0,12700,2024-05-27,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-05-27,0,0,1,0,96,0,0,0,0,0,0,0,0,0
,2024-05-09,25217621380,15.0,12700,2024-06-06,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,,2024-06-06,0,0,1,0,96,0,0,0,0,0,0,0,0,0
