繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_rate/hr,SP_time_taken,SV_rate/hr,SV_time_taken,slot,ライン,備考,流速,生産日,順番
,,25217621380,15.0,12700,2024-02-17,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-02-16,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,6000,2024-03-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-03-29,×,"6,000",0.0,"8,000",45.0,,,,,,
,,25217621380,15.0,12700,2024-04-17,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-17,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-05-13,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-13,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-04-22,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-22,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-04-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-30,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-05-20,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-20,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-05-27,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-27,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25217621380,15.0,12700,2024-06-06,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-06-06,×,"6,000",0.0,"8,000",96.0,,,,,,
,,25719121870,15.0,12700,2024-02-15,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-02-14,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,12700,2024-02-26,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-02-23,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,12700,2024-04-15,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-12,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,12700,2024-04-08,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-05,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,12700,2024-04-18,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-17,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,12700,2024-05-08,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-05-07,×,"6,000",0.0,"5,000",153.0,,,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
