繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項
,2024-01-30,25217621380,15.0,12700,20240217,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-02-27,25217621380,15.0,12700,20240316,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-03-06,25217621380,15.0,6000,20240330,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-03-27,25217621380,15.0,12700,20240417,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-03,25217621380,15.0,12700,20240513,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-04,25217621380,15.0,12700,20240422,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-11,25217621380,15.0,12700,20240430,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-22,25217621380,15.0,12700,20240520,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-04-22,25217621380,15.0,12700,20240527,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-05-09,25217621380,15.0,12700,20240606,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),15.0,C/S,〇,"8,000",〇,"6,000",A,,,×,,〇,低,,×,×,
,2024-01-30,25719121870,15.0,12700,20240215,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,15.0,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡
,2024-01-30,25719121870,15.0,12700,20240226,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,15.0,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡
,2024-02-27,25719121870,15.0,12700,20240315,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,15.0,C/S,〇,"5,000",〇,"6,000",A,,〇,×,〇,〇,,,○,○,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡
