繰上不可(×）,依頼日,品目コード,品名,入目,予定数量(㎏),納期,チケットＮＯ
,2024-01-29,25175621830,ｱﾛﾏ-ﾃﾞﾏｲﾙﾄﾞｼ-ﾄ(S),15.0,4800,20240311,
,2024-01-29,25175621850,ｱﾛﾏ-ﾃﾞﾏｲﾙﾄﾞｼ-ﾄ(M),15.0,4800,20240311,
,2024-01-29,25175621850,ｱﾛﾏ-ﾃﾞﾏｲﾙﾄﾞｼ-ﾄ(M),15.0,4800,20240311,
,2024-01-29,25175621850,ｱﾛﾏ-ﾃﾞﾏｲﾙﾄﾞｼ-ﾄ(M),15.0,4800,20240311,
,2024-01-29,25176921810,Pｼ-ﾄDB-R 650 (SS),10.4,4800,20240311,
,2024-01-29,25184323850,ｵﾘﾝﾋﾟｱANｼ-ﾄ1.7K(M),13.6,4800,20240311,
,2024-01-29,25184323850,ｵﾘﾝﾋﾟｱANｼ-ﾄ1.7K(M),13.6,4800,20240311,
,2024-01-29,25294421850,CTマイルドシート,15.0,4800,20240311,
,2024-01-29,25800521830,MB－ｵﾘﾝﾋﾟｱCRｼｰﾄ-SP,15.0,4800,20240311,
,2024-01-29,25803401830,MBオリンピアシートL,497.25,4500,20240311,
,2024-01-29,25803401830,MBオリンピアシートL,497.25,4500,20240311,
,2024-01-30,25109721830,ﾊｲｿﾌﾄQ-Y(S),15.0,6000,20240311,
,2024-01-30,25127221850,ﾌﾟﾚﾐｱﾑｽﾀ-DX(M),15.0,6000,20240311,
,2024-01-30,25154121000,ﾌﾟﾗｽﾞﾏDX,15.0,6000,20240311,
,2024-01-30,25154121000,ﾌﾟﾗｽﾞﾏDX,15.0,6000,20240311,
,2024-01-30,25154121000,ﾌﾟﾗｽﾞﾏDX,15.0,6000,20240311,
,2024-01-30,25249822000,R-FP,15.0,4500,20240311,
,2024-01-30,25293324030,ﾆｭｰYCS　ｽﾄﾚｯﾁ750K,12.5,4500,20240309,
,2024-01-30,25293324030,ﾆｭｰYCS　ｽﾄﾚｯﾁ750K,12.5,4500,20240309,
,2024-01-30,25293324030,ﾆｭｰYCS　ｽﾄﾚｯﾁ750K,12.5,4500,20240321,
,2024-01-30,25293324030,ﾆｭｰYCS　ｽﾄﾚｯﾁ750K,12.5,4500,20240321,
,2024-01-30,25293327030,ﾆｭｰYCS　ｽﾄﾚｯﾁ720K,12.0,4500,20240311,
,2024-01-30,25293327030,ﾆｭｰYCS　ｽﾄﾚｯﾁ720K,12.0,4500,20240311,
,2024-01-30,25293327030,ﾆｭｰYCS　ｽﾄﾚｯﾁ720K,12.0,4500,20240322,
,2024-01-30,25293327030,ﾆｭｰYCS　ｽﾄﾚｯﾁ720K,12.0,4500,20240322,
,2024-01-30,25301721830,ｴﾚﾊﾞｰﾙFB－Ⅱ,15.0,4500,20240308,
,2024-01-30,25301721830,ｴﾚﾊﾞｰﾙFB－Ⅱ,15.0,4500,20240308,
,2024-01-30,25303421810,FH-A6（7ｋ）,7.0,840,20240311,
,2024-01-30,25303422810,FH-A6（7.5ｋ）,7.5,3691,20240311,
,2024-01-30,25303423810,FH-A6（8.5ｋ）,8.5,2040,20240311,
,2024-01-30,25303422810,FH-A6（7.5ｋ）,7.5,2491,20240311,
,2024-01-30,25308821830,F-ADM-SP(S),10.0,5000,20240309,
,2024-01-30,25308821830,F-ADM-SP(S),10.0,5000,20240309,
,2024-01-30,25308821830,F-ADM-SP(S),10.0,5000,20240309,
,2024-01-30,25308821830,F-ADM-SP(S),10.0,5000,20240309,
,2024-01-30,25308821830,F-ADM-SP(S),10.0,5000,20240309,
,2024-01-30,25310921810,ディアソフトPC-EF,10.0,6000,20240311,
,2024-01-30,25310921810,ディアソフトPC-EF,10.0,6000,20240311,
,2024-01-30,25314921810,ﾃﾞｨｱｿﾌﾄ-Ⅱ,10.0,6000,20240309,
,2024-01-30,25315921000,クレマチス,10.0,4500,20240309,
,2024-01-30,25318921850,フロイデP-BF,15.0,5000,20240305,
