品目コード,品名,ライン,ライン名,入目,流速,テンパリング,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,窒素ガス,KI製品,MO-7S配合,アレルゲン
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-12,K-202205-0240,副原料添加なし初回限定,2022-06-09,1,2022-06-09 07:20:00-->2022-06-09 08:56:00,2022-06-10,〇,×,×,A
25224321060,PVｼﾖ-ﾄ(B) (6),1205,ＳＶ,15.0,8000,,,,,,,8000,2022-06-09,K-202205-0877,,2022-06-09,2,2022-06-09 09:16:00-->2022-06-09 10:16:00,2022-06-09,〇,×,×,A
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-09,K-202205-1410,,2022-06-09,3,2022-06-09 10:36:00-->2022-06-09 12:12:00,2022-06-09,〇,×,×,A
25211221060,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (6),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-11,K-202205-0327,,2022-06-09,4,2022-06-09 12:32:00-->2022-06-09 14:08:00,2022-06-10,〇,×,×,A
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-0879,,2022-06-09,5,2022-06-09 14:28:00-->2022-06-09 16:04:00,2022-06-10,〇,×,×,A
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-1414,,2022-06-09,6,2022-06-09 16:24:00-->2022-06-09 18:00:00,2022-06-10,〇,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-0355,,2022-06-09,7,2022-06-09 18:30:00-->2022-06-09 20:06:00,2022-06-10,,×,×,A
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0251,,2022-06-09,8,2022-06-09 20:36:00-->2022-06-09 22:12:00,2022-06-10,〇,×,×,A
25223325020,ｱﾒﾘｶ-ﾅDX-TL,1205,ＳＶ,10.0,5400,,,,〇,,,6000,2022-06-13,K-202205-1407,初回限定,2022-06-10,1,2022-06-10 07:20:00-->2022-06-10 08:27:00,2022-06-13,,×,×,A
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0274,,2022-06-10,2,2022-06-10 08:47:00-->2022-06-10 10:23:00,2022-06-10,,×,×,A
25282821000,ﾘｽｵｲﾙ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0322,,2022-06-10,3,2022-06-10 10:43:00-->2022-06-10 12:19:00,2022-06-10,,×,×,A
25225523040,ICｼﾖ-ﾄ 12K(4),1205,ＳＶ,12.0,5400,,,,,,,6000,2022-06-11,K-202205-0053,,2022-06-10,4,2022-06-10 12:49:00-->2022-06-10 13:56:00,2022-06-10,〇,×,×,A
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-0253,,2022-06-10,5,2022-06-10 14:16:00-->2022-06-10 15:52:00,2022-06-13,〇,×,×,A
25213221850,ﾁｴｽﾀ-77(H),1205,ＳＶ,15.0,8000,〇,,,,,,4000,2022-06-13,K-202205-0243,,2022-06-10,6,2022-06-10 16:12:00-->2022-06-10 16:42:00,2022-06-10,〇,×,×,A
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-15,K-202206-0031,,2022-06-10,7,2022-06-10 17:02:00-->2022-06-10 18:38:00,2022-06-14,〇,×,×,A
25222522030,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(32),1205,ＳＶ,20.0,8000,〇,,,,,,5000,2022-06-16,K-202206-0305,,2022-06-10,8,2022-06-10 18:58:00-->2022-06-10 19:36:00,2022-06-15,〇,×,×,A
25244821000,ﾊｲﾒﾛ-ｼｮ-ﾄLT-2,1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-17,K-202205-1504,,2022-06-10,9,2022-06-10 20:06:00-->2022-06-10 21:42:00,2022-06-16,,×,×,A
26632521040,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-13,K-202205-0275,,2022-06-10,10,2022-06-10 22:02:00-->2022-06-10 22:47:00,2022-06-13,,×,×,A
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1460,副原料添加なし初回限定,2022-06-13,1,2022-06-13 07:20:00-->2022-06-13 08:56:00,2022-06-16,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-13,K-202205-0238,副原料添加なし初回限定,2022-06-13,2,2022-06-13 09:16:00-->2022-06-13 10:52:00,2022-06-13,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1448,副原料添加なし初回限定,2022-06-13,3,2022-06-13 11:12:00-->2022-06-13 12:48:00,2022-06-16,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1447,副原料添加なし初回限定,2022-06-13,4,2022-06-13 13:08:00-->2022-06-13 14:44:00,2022-06-16,〇,×,×,A
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1446,副原料添加なし初回限定,2022-06-13,5,2022-06-13 15:04:00-->2022-06-13 16:40:00,2022-06-16,〇,×,×,A
25224321040,PVｼﾖ-ﾄ(B) (4),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202206-0142,,2022-06-13,6,2022-06-13 17:00:00-->2022-06-13 18:36:00,2022-06-13,〇,×,×,A
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-1411,,2022-06-13,7,2022-06-13 18:56:00-->2022-06-13 20:32:00,2022-06-13,〇,×,×,A
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-13,K-202205-0264,,2022-06-13,8,2022-06-13 20:52:00-->2022-06-13 21:59:00,2022-06-13,〇,×,×,A
25220421830,TRｼｮ-ﾄSEJ2(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-15,K-202206-0059,副原料添加なし初回限定,2022-06-14,1,2022-06-14 07:20:00-->2022-06-14 08:56:00,2022-06-15,〇,×,×,A
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-15,K-202205-1466,副原料添加なし初回限定,2022-06-14,2,2022-06-14 09:16:00-->2022-06-14 11:38:00,2022-06-15,〇,×,×,A
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1546,副原料添加なし初回限定,2022-06-14,3,2022-06-14 11:58:00-->2022-06-14 13:34:00,2022-06-16,〇,×,×,A
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202205-1500,,2022-06-14,4,2022-06-14 13:54:00-->2022-06-14 15:30:00,2022-06-14,〇,×,×,A
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15.0,8000,,低,,,,,12700,2022-06-14,K-202205-1475,,2022-06-14,5,2022-06-14 15:50:00-->2022-06-14 17:26:00,2022-06-14,〇,×,×,A
25220221000,ｼｮ-ﾄﾆﾝｸﾞCC,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202206-0035,,2022-06-14,6,2022-06-14 17:46:00-->2022-06-14 19:22:00,2022-06-14,〇,×,×,A
25710721000,FPｼｮ-ﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,11600,2022-06-21,K-202206-0251,,2022-06-14,7,2022-06-14 19:42:00-->2022-06-14 21:09:00,2022-06-14,〇,×,×,A
25719121870,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,1205,ＳＶ,15.0,8000,〇,,,,〇,〇,10200,2022-06-23,K-202206-0224,MO-7S添加品,2022-06-14,8,2022-06-14 21:29:00-->2022-06-14 22:46:00,2022-06-16,〇,×,○,A
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),1205,ＳＶ,15.0,6000,,,,〇,,,12700,2022-06-18,K-202205-1517,副原料添加なし初回限定,2022-06-15,1,2022-06-15 07:20:00-->2022-06-15 09:27:00,2022-06-17,〇,×,×,A
25317521870,ｼﾖ-ﾄﾆﾝｸﾞYA-III(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-18,K-202205-0914,副原料添加なし初回限定,2022-06-15,2,2022-06-15 09:57:00-->2022-06-15 11:33:00,2022-06-17,,×,×,A
25134723850,IKｼﾖ-ﾄ(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-15,K-202205-1469,,2022-06-15,3,2022-06-15 12:03:00-->2022-06-15 13:39:00,2022-06-15,〇,×,×,A
25802121000,MB-ｸﾂｷ-ﾄNT-K3,1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-15,K-202205-1441,,2022-06-15,4,2022-06-15 13:59:00-->2022-06-15 14:44:00,2022-06-15,〇,×,×,A
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12400,2022-06-18,K-202206-0476,,2022-06-15,5,2022-06-15 15:04:00-->2022-06-15 16:37:00,2022-06-17,〇,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1495,,2022-06-15,6,2022-06-15 17:07:00-->2022-06-15 18:43:00,2022-06-17,,×,×,A
25230924850,ﾁｴｽﾀ-2000 10K (M),1205,ＳＶ,10.0,5400,〇,,,,,,4000,2022-06-18,K-202206-0061,,2022-06-15,7,2022-06-15 19:13:00-->2022-06-15 19:58:00,2022-06-17,〇,×,×,A
25222123050,ﾆｭｰｼｮｰﾄﾆﾝｸﾞ20㎏(5),1205,ＳＶ,20.0,8000,,,,,,,10000,2022-06-16,K-202206-0306,,2022-06-15,8,2022-06-15 20:18:00-->2022-06-15 21:33:00,2022-06-16,〇,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1494,,2022-06-16,1,2022-06-16 07:20:00-->2022-06-16 08:56:00,2022-06-17,,×,×,A
25230924870,ﾁｴｽﾀ-2000 10K (H),1205,ＳＶ,10.0,5400,〇,,,,,,8700,2022-06-18,K-202206-0060,,2022-06-16,2,2022-06-16 09:26:00-->2022-06-16 11:03:00,2022-06-17,〇,×,×,A
25719621870,AKK-Ⅱ(H),1205,ＳＶ,15.0,8000,,低,,,,,6000,2022-06-18,K-202206-0220,,2022-06-16,3,2022-06-16 11:33:00-->2022-06-16 12:18:00,2022-06-17,,×,×,A
25351521000,MCｼｮ-ﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1528,副原料添加多く初回限定,2022-06-16,4,2022-06-16 12:48:00-->2022-06-16 14:18:00,2022-06-17,〇,×,×,A
25351521000,MCｼｮ-ﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1529,副原料添加多く初回限定,2022-06-16,5,2022-06-16 14:38:00-->2022-06-16 16:08:00,2022-06-17,〇,×,×,A
25226125020,ｱﾒﾘｶ-ﾅDX*(15K),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-1488,,2022-06-16,6,2022-06-16 16:38:00-->2022-06-16 18:14:00,2022-06-17,,×,×,A
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-18,K-202205-1493,,2022-06-16,7,2022-06-16 18:34:00-->2022-06-16 20:10:00,2022-06-17,,×,×,A
25710721000,FPｼｮ-ﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,12200,2022-06-24,K-202206-0302,,2022-06-16,8,2022-06-16 20:40:00-->2022-06-16 22:12:00,2022-06-17,〇,×,×,A
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-20,K-202205-1461,副原料添加なし初回限定,2022-06-17,1,2022-06-17 07:20:00-->2022-06-17 08:56:00,2022-06-20,〇,×,×,A
