品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-12,K-202205-0240,副原料添加なし初回限定,2022-06-09 00:00:00,1,2022-06-09 07:20:00-->2022-06-09 08:56:00,2022-06-11
25224321060,PVｼﾖ-ﾄ(B) (6),1205,ＳＶ,15.0,8000,,,,,,,8000,2022-06-09,K-202205-0877,,2022-06-09 00:00:00,2,2022-06-09 09:16:00-->2022-06-09 10:16:00,2022-06-09
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-09,K-202205-1410,,2022-06-09 00:00:00,3,2022-06-09 12:30:00-->2022-06-09 14:26:00,2022-06-09
25211221060,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (6),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-11,K-202205-0327,,2022-06-09 00:00:00,4,2022-06-09 14:46:00-->2022-06-09 16:22:00,2022-06-11
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-0879,,2022-06-09 00:00:00,5,2022-06-09 16:42:00-->2022-06-09 18:18:00,2022-06-11
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-1414,,2022-06-09 00:00:00,6,2022-06-09 18:38:00-->2022-06-09 20:14:00,2022-06-11
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-13,K-202205-0355,,2022-06-09 00:00:00,7,2022-06-09 20:34:00-->2022-06-09 22:10:00,2022-06-11
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0251,,,,,2022-06-10
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022-06-13,K-202205-0272,副原料添加なし初回限定,2022-06-10 00:00:00,1,2022-06-10 07:20:00-->2022-06-10 10:31:00,2022-06-13
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-13,K-202205-0238,副原料添加なし初回限定,2022-06-10 00:00:00,2,2022-06-10 12:30:00-->2022-06-10 14:26:00,2022-06-13
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0881,,2022-06-10 00:00:00,3,2022-06-10 14:46:00-->2022-06-10 16:22:00,2022-06-10
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0274,,2022-06-10 00:00:00,4,2022-06-10 16:42:00-->2022-06-10 18:18:00,2022-06-10
25282821000,ﾘｽｵｲﾙ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-10,K-202205-0322,,2022-06-10 00:00:00,5,2022-06-10 18:38:00-->2022-06-10 20:14:00,2022-06-10
25213221850,ﾁｴｽﾀ-77(H),1205,ＳＶ,15.0,8000,〇,,,,,,4000,2022-06-13,K-202205-0243,,2022-06-10 00:00:00,6,2022-06-10 20:34:00-->2022-06-10 21:04:00,2022-06-11
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15.0,8000,〇,,,,,,12700,2022-06-15,K-202206-0031,,2022-06-10 00:00:00,7,2022-06-10 21:24:00-->2022-06-10 23:00:00,2022-06-14
25222522030,ﾊﾟﾈﾘ-ｼﾖ-ﾄST-2-TL(32),1205,ＳＶ,20.0,8000,〇,,,,,,5000,2022-06-16,K-202206-0305,,2022-06-13 00:00:00,8,2022-06-13 21:10:00-->2022-06-13 21:48:00,2022-06-15
25223325020,ｱﾒﾘｶｰﾅDX-TL,1205,ＳＶ,10.0,5400,,,,〇,,,6000,2022-06-13,K-202205-1407,初回限定,2022-06-11 00:00:00,1,2022-06-11 07:20:00-->2022-06-11 08:27:00,2022-06-13
25225523040,ICｼﾖ-ﾄ 12K(4),1205,ＳＶ,12.0,5400,,,,,,,6000,2022-06-11,K-202205-0053,,2022-06-11 00:00:00,2,2022-06-11 08:57:00-->2022-06-11 10:04:00,2022-06-11
25802121000,MB-ｸﾂｷ-ﾄNT-K3,1205,ＳＶ,15.0,8000,〇,,,,,,6000,2022-06-15,K-202205-1441,,2022-06-11 00:00:00,3,2022-06-11 10:34:00-->2022-06-11 11:19:00,2022-06-14
25710721000,FPｼｮｰﾄLT2,1205,ＳＶ,15.0,8000,〇,,,,,〇,11600,2022-06-21,K-202206-0251,,2022-06-11 00:00:00,4,2022-06-11 12:30:00-->2022-06-11 14:47:00,2022-06-14
25230924870,ﾁｴｽﾀ-2000 10K (H),1205,ＳＶ,10.0,5400,〇,,,,,,8700,2022-06-18,K-202206-0060,,2022-06-11 00:00:00,5,2022-06-11 15:17:00-->2022-06-11 16:54:00,2022-06-17
25232924850,NCｼﾖ-ﾄ(DIR)(M),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-0253,,2022-06-11 00:00:00,6,2022-06-11 17:24:00-->2022-06-11 19:00:00,2022-06-13
26632521040,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),1205,ＳＶ,15.0,8000,,,,,,,6000,2022-06-13,K-202205-0275,,2022-06-11 00:00:00,7,2022-06-11 19:50:00-->2022-06-11 20:35:00,2022-06-13
25217621380,ｻﾝﾄﾞｼﾖ-ﾄNT (38ﾟC),1205,ＳＶ,15.0,8000,,低沃素価,,,,,12700,2022-06-14,K-202205-1475,,2022-06-11 00:00:00,8,2022-06-11 21:05:00-->2022-06-11 22:41:00,2022-06-14
25220421830,TRｼｮｰﾄSEJ2(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-15,K-202206-0059,副原料添加なし初回限定,2022-06-13 00:00:00,1,2022-06-13 07:20:00-->2022-06-13 08:56:00,2022-06-15
25132325870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄCF 10K(H),1205,ＳＶ,10.0,5400,,,,〇,,,12700,2022-06-15,K-202205-1466,副原料添加なし初回限定,2022-06-13 00:00:00,2,2022-06-13 12:30:00-->2022-06-13 15:12:00,2022-06-15
25800421830,MB-ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1546,副原料添加なし初回限定,2022-06-13 00:00:00,3,2022-06-13 15:32:00-->2022-06-13 17:08:00,2022-06-16
25224321040,PVｼﾖ-ﾄ(B) (4),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202206-0142,,2022-06-13 00:00:00,4,2022-06-13 17:28:00-->2022-06-13 19:04:00,2022-06-13
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-0257,,2022-06-13 00:00:00,5,2022-06-13 19:24:00-->2022-06-13 21:00:00,2022-06-13
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-13,K-202205-1411,,2022-06-13 00:00:00,6,2022-06-13 21:20:00-->2022-06-13 22:56:00,2022-06-13
25306521830,ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),1205,ＳＶ,10.0,5400,,,,,,,6000,2022-06-13,K-202205-0264,,2022-06-13 00:00:00,7,2022-06-13 19:43:00-->2022-06-13 20:50:00,2022-06-13
25230924850,ﾁｴｽﾀ-2000 10K (M),1205,ＳＶ,10.0,5400,〇,,,,,,4000,2022-06-18,K-202206-0061,,2022-06-16 00:00:00,7,2022-06-16 20:10:00-->2022-06-16 20:55:00,2022-06-17
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1460,副原料添加なし初回限定,2022-06-14 00:00:00,1,2022-06-14 07:20:00-->2022-06-14 08:56:00,2022-06-16
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1448,副原料添加なし初回限定,2022-06-14 00:00:00,2,2022-06-14 09:16:00-->2022-06-14 10:52:00,2022-06-16
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1447,副原料添加なし初回限定,2022-06-14 00:00:00,3,2022-06-14 12:30:00-->2022-06-14 14:26:00,2022-06-16
25120028830,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(S),1205,ＳＶ,15.0,8000,,,,〇,,,12700,2022-06-16,K-202205-1446,副原料添加なし初回限定,2022-06-14 00:00:00,4,2022-06-14 14:46:00-->2022-06-14 16:22:00,2022-06-16
25286621830,EZｼﾖ-ﾄﾆﾝｸﾞ(S),1205,ＳＶ,15.0,6000,,,,〇,,,12700,2022-06-18,K-202205-1517,副原料添加なし初回限定,2022-06-14 00:00:00,5,2022-06-14 16:42:00-->2022-06-14 18:49:00,2022-06-17
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202205-1500,,2022-06-14 00:00:00,6,2022-06-14 19:09:00-->2022-06-14 20:45:00,2022-06-14
25220221000,ｼｮｰﾄﾆﾝｸﾞCC,1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-14,K-202206-0035,,2022-06-14 00:00:00,7,2022-06-14 21:05:00-->2022-06-14 22:41:00,2022-06-14
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1528,副原料添加多く初回限定,2022-06-15 00:00:00,1,2022-06-15 07:20:00-->2022-06-15 08:50:00,2022-06-17
25351521000,MCｼｮｰﾄ(12),1205,ＳＶ,15.0,8000,,,,〇,,,12000,2022-06-18,K-202205-1529,副原料添加多く初回限定,2022-06-15 00:00:00,2,2022-06-15 09:10:00-->2022-06-15 10:40:00,2022-06-17
25249921000,ﾊﾟﾈﾘ-PV(13),1205,ＳＶ,15.0,8000,,,,,,,12700,2022-06-18,K-202205-0882,,2022-06-15 00:00:00,3,2022-06-15 12:30:00-->2022-06-15 14:26:00,2022-06-17
