品目コード,品名,ライン,荷姿,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25272711000,ﾌﾗｲｵｲﾙ-MK,,CAN,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-01,1,2024-03-01 07:20:00-->2024-03-01 09:36:00,2024-03-04,,×,A,136,0,"5,400","7,500",2024-03-01 07:20:00,2024-03-01 09:36:00,Friday
25747111000,SBｵｲﾙR,,CAN,16.0,,,,×,,,×,12200,2024-03-04,,,2024-03-01,2,2024-03-01 09:56:00-->2024-03-01 11:53:00,2024-03-04,,×,A,117,0,"6,300","7,500",2024-03-01 09:56:00,2024-03-01 11:53:00,Friday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,,CAN,16.0,,,,×,,,×,12200,2024-03-04,,,2024-03-01,3,2024-03-01 13:33:00-->2024-03-01 15:40:00,2024-03-04,,×,A,127,0,"5,800","7,500",2024-03-01 13:33:00,2024-03-01 15:40:00,Friday
26611111000,ｸﾗｳﾝﾗ-ﾄﾞ #100K,,CAN,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-01,4,2024-03-01 16:00:00-->2024-03-01 18:00:00,2024-03-04,,×,A,120,0,"6,100","8,000",2024-03-01 16:00:00,2024-03-01 18:00:00,Friday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26631111050,ｸﾗｳﾝﾗ-ﾄﾞ#300 DIR,,CAN,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-01,5,2024-03-01 19:40:00-->2024-03-01 21:42:00,2024-03-04,,×,A,122,0,"6,000","7,500",2024-03-01 19:40:00,2024-03-01 21:42:00,Friday
26632913000,ｸﾗｳﾝﾗ-ﾄﾞ(NF),,CAN,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-04,1,2024-03-04 07:20:00-->2024-03-04 09:17:00,2024-03-04,,×,A,117,0,"6,300","7,500",2024-03-04 07:20:00,2024-03-04 09:17:00,Monday
25306211000,EZﾌﾗｲｵｲﾙ,,CAN,13.0,,,,×,,,×,6100,2024-03-06,,,2024-03-04,2,2024-03-04 09:47:00-->2024-03-04 10:48:00,2024-03-06,〇,×,A,61,0,"6,000","6,000",2024-03-04 09:47:00,2024-03-04 10:48:00,Monday
25747111000,SBｵｲﾙR,,CAN,16.0,,,,×,,,×,18300,2024-03-09,,,2024-03-04,3,2024-03-04 11:18:00-->2024-03-04 14:13:00,2024-03-08,,×,A,175,0,"6,300","7,500",2024-03-04 11:18:00,2024-03-04 14:13:00,Monday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26611311000,ｺﾞ-ﾙﾄﾞｸﾗｳﾝ DX,,CAN,15.0,,,,×,,,×,6100,2024-03-09,,,2024-03-04,4,2024-03-04 15:53:00-->2024-03-04 16:54:00,2024-03-08,,×,A,61,0,"6,000","7,500",2024-03-04 15:53:00,2024-03-04 16:54:00,Monday
26631211000,ｸﾗｳﾝﾗ-ﾄﾞ#300(A),,CAN,15.0,,,,×,,,×,6100,2024-03-09,,,2024-03-04,5,2024-03-04 17:14:00-->2024-03-04 18:14:00,2024-03-08,,×,A,60,0,"6,100","7,500",2024-03-04 17:14:00,2024-03-04 18:14:00,Monday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-06,,,2024-03-05,1,2024-03-05 07:20:00-->2024-03-05 17:48:00,2024-03-06,,×,A,628,0,"7,000","7,700",2024-03-05 07:20:00,2024-03-05 17:48:00,Tuesday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25555511000,SBｵｲﾙZ,,CAN,16.0,,,,×,,,×,6100,2024-03-11,,,2024-03-05,2,2024-03-05 20:48:00-->2024-03-05 21:47:00,2024-03-11,,×,A,59,0,"6,300","8,000",2024-03-05 20:48:00,2024-03-05 21:47:00,Tuesday
25800811000,MB-Mcﾌﾗｲｵｲﾙ,,CAN,16.0,,,,×,,,×,73200,2024-03-07,,,2024-03-06,1,2024-03-06 07:20:00-->2024-03-06 17:48:00,2024-03-07,,×,A,628,0,"7,000","7,700",2024-03-06 07:20:00,2024-03-06 17:48:00,Wednesday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
