品目コード,品名,ライン,荷姿,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,C/S,15.0,,,,×,〇,,×,12700,2024-03-02,,副原料無添,2024-03-01,1,2024-03-01 07:20:00-->2024-03-01 08:56:00,2024-03-01,〇,×,A,0,96,"6,000","8,000",2024-03-01 07:20:00,2024-03-01 08:56:00,Friday
348999PT,MB-PｼｮｰﾄCF(H)ｱｶｼｹﾞﾝ,,C/S,15.0,,,,×,〇,,,12700,2024-03-01,,副原料無添,2024-03-01,2,2024-03-01 09:16:00-->2024-03-01 10:52:00,2024-03-01,〇,,A,0,96,"5,000",8000,2024-03-01 09:16:00,2024-03-01 10:52:00,Friday
25244422870,ｲﾄｳIK-NT(H),,C/S,15.0,,,,×,,,×,12700,2024-03-02,,,2024-03-01,3,2024-03-01 11:12:00-->2024-03-01 12:48:00,2024-03-01,〇,×,A,0,96,"5,000","8,000",2024-03-01 11:12:00,2024-03-01 12:48:00,Friday
25212222850,ﾁｴｽﾀ-88-TL(M),,C/S,15.0,,〇,,×,,,×,6000,2024-03-04,,,2024-03-01,4,2024-03-01 13:08:00-->2024-03-01 14:15:00,2024-03-01,〇,×,A,0,67,"6,000","5,400",2024-03-01 13:08:00,2024-03-01 14:15:00,Friday
25230924890,ﾁｴｽﾀ-2000 10K (HH),,C/S,10.0,,〇,,×,,,×,6000,2024-03-04,,,2024-03-01,5,2024-03-01 14:35:00-->2024-03-01 15:42:00,2024-03-01,〇,×,A,0,67,"4,800","5,400",2024-03-01 14:35:00,2024-03-01 15:42:00,Friday
25710721000,FPｼｮ-ﾄLT2,,C/S,15.0,,〇,,×,,,○,12700,2024-03-04,,,2024-03-01,6,2024-03-01 16:02:00-->2024-03-01 17:38:00,2024-03-01,〇,×,A,0,96,"6,000","8,000",2024-03-01 16:02:00,2024-03-01 17:38:00,Friday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,C/S,15.0,,〇,,×,,,×,25400,2024-03-04,,,2024-03-01,7,2024-03-01 18:08:00-->2024-03-01 21:19:00,2024-03-01,,×,A,0,191,"6,000","8,000",2024-03-01 18:08:00,2024-03-01 21:19:00,Friday
25120028830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,C/S,15.0,,,,×,〇,,×,25400,2024-03-04,,副原料無添,2024-03-04,1,2024-03-04 07:20:00-->2024-03-04 10:31:00,2024-03-04,〇,×,A,0,191,"5,000","8,000",2024-03-04 07:20:00,2024-03-04 10:31:00,Monday
25120028870,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,C/S,15.0,,,,×,〇,,×,12700,2024-03-04,,副原料無添,2024-03-04,2,2024-03-04 10:51:00-->2024-03-04 12:27:00,2024-03-04,〇,×,A,0,96,"5,000","8,000",2024-03-04 10:51:00,2024-03-04 12:27:00,Monday
25105621000,ﾊﾟﾈﾘ-PV(12),,C/S,15.0,,,,×,,,×,6000,2024-03-04,,,2024-03-04,3,2024-03-04 12:47:00-->2024-03-04 13:32:00,2024-03-04,〇,×,A,0,45,"5,000","8,000",2024-03-04 12:47:00,2024-03-04 13:32:00,Monday
