品目コード,品名,ライン,ライン名,入目,流速,テンパ品,沃素価,KI,初回限定,最終限定,ストレッチ,予定数量,納期,チケットNO,備考,生産日,順番,slot,nouki_copy,compare
25270521000,ﾌｧﾝﾄﾑ1050,1205,ＳＶ,15,7000,,,KI(テンパー品),,,,10000,2022/6/23,K-202206-0998,,2022/6/9,1,2022-06-09 07:20:00-->2022-06-09 08:46:00,2022/6/10,△
25224321060,PVｼﾖ-ﾄ(B) (6),1205,ＳＶ,15,8000,,,,,,,8000,2022/6/9,K-202205-0877,,2022/6/9,2,2022-06-09 10:06:00-->2022-06-09 11:06:00,2022/6/9,〇
25244422870,ｲﾄｳIK-NT(H),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/9,K-202205-1410,,2022/6/9,3,2022-06-09 11:26:00-->2022-06-09 13:02:00,2022/6/9,〇
25211221060,ﾊﾟﾈﾘ-ｼﾖ-ﾄS (6),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/11,K-202205-0327,,2022/6/9,4,2022-06-09 13:22:00-->2022-06-09 14:58:00,2022/6/10,〇
25224021000,ABｼﾖ-ﾄ(PM),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/13,K-202205-0879,,2022/6/9,5,2022-06-09 15:18:00-->2022-06-09 16:54:00,2022/6/10,〇
25710722000,FPｼﾖ-ﾄLT2(15K),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/13,K-202205-1414,,2022/6/9,6,2022-06-09 17:14:00-->2022-06-09 18:50:00,2022/6/10,〇
25225621850,PVｼﾖ-ﾄEG(M),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/10,K-202205-0251,,2022/6/9,7,2022-06-09 19:10:00-->2022-06-09 20:46:00,2022/6/10,〇
25280921830,ﾏｲﾙﾄﾞﾌｧｯﾄDX(S),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/30,K-202206-1999,アレルゲンB,2022/6/9,8,2022-06-09 21:06:00-->2022-06-09 22:42:00,2022/6/10,△
25120028870,ﾌﾟﾚﾐｱﾑｼﾖ-ﾄ-CF(H),1205,ＳＶ,15,8000,,,,〇,,,12700,2022/6/12,K-202205-0240,副原料添加なし初回限定,2022/6/10,1,2022-06-10 07:20:00-->2022-06-10 08:56:00,2022/6/10,×
25225523040,ICｼﾖ-ﾄ 12K(4),1205,ＳＶ,12,5400,,,,,,,6000,2022/6/11,K-202205-0053,,2022/6/10,2,2022-06-10 09:16:00-->2022-06-10 10:23:00,2022/6/10,〇
25282821000,ﾘｽｵｲﾙ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/10,K-202205-0322,,2022/6/10,3,2022-06-10 10:43:00-->2022-06-10 12:19:00,2022/6/10,〇
25249621000,ｸｯｷｰｼｮｰﾄﾆﾝｸﾞ,1205,ＳＶ,15,8000,,,,,,,12700,2022/6/10,K-202205-0881,,2022/6/10,4,2022-06-10 12:39:00-->2022-06-10 14:15:00,2022/6/10,〇
26611121000,ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,12700,2022/6/10,K-202205-0274,,2022/6/10,5,2022-06-10 14:35:00-->2022-06-10 16:11:00,2022/6/10,〇
25804821000,MB-ｻﾝﾄﾞｼﾖ-ﾄDX-TL(H),1205,ＳＶ,15,8000,〇,,,,,,12700,2022/6/13,K-202205-0355,,2022/6/10,6,2022-06-10 16:31:00-->2022-06-10 18:07:00,2022/6/10,×
25213221850,ﾁｴｽﾀ-77(H),1205,ＳＶ,15,8000,〇,,,,,,4000,2022/6/13,K-202205-0243,,2022/6/10,7,2022-06-10 18:27:00-->2022-06-10 18:57:00,2022/6/10,〇
26632521040,ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),1205,ＳＶ,15,8000,,,,,,,6000,2022/6/13,K-202205-0275,,2022/6/10,8,2022-06-10 19:17:00-->2022-06-10 20:02:00,2022/6/13,×
25294121810,ｽﾃｲﾔｰｽﾍﾟｼｬﾙ(SS),1205,ＳＶ,15,6500,,準高沃素価,,,〇,,12700,2022/6/30,K-202205-0999,最終限定,2022/6/10,9,2022-06-10 20:22:00-->2022-06-10 22:20:00,2022/6/10,△
25801321870,MB-Pｼﾖ-ﾄCF8.1K(H),1205,ＳＶ,8.1,4000,,,,〇,,,12700,2022/6/13,K-202205-0272,副原料添加なし初回限定,2022/6/11,1,2022-06-11 07:20:00-->2022-06-11 10:31:00,2022/6/13,×
