品目コード,ライン,入目,流速,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,品名,入れ目,荷姿,SVライン
25270521000,,15,,10000,2022-06-23,K-202206-0998,,2024-03-01,1,2024-03-01 07:20:00-->2024-03-01 07:22:00,2024-03-02,0,2,-,"7,500",ﾌｱﾝﾄﾑ1050,,,
25244422870,,15.0,,12700,2024-03-02,,,2024-03-01,2,2024-03-01 08:52:00-->2024-03-01 10:28:00,2024-03-01,153,96,"5,000","8,000",ｲﾄｳIK-NT(H),,,
25212222850,,15.0,,6000,2024-03-04,,,2024-03-01,3,2024-03-01 10:48:00-->2024-03-01 11:55:00,2024-03-01,60,67,"6,000","5,400",ﾁｴｽﾀ-88-TL(M),,,
25230924890,,10.0,,6000,2024-03-04,,,2024-03-01,4,2024-03-01 12:15:00-->2024-03-01 13:22:00,2024-03-01,75,67,"4,800","5,400",ﾁｴｽﾀ-2000 10K (HH),,,
25710721000,,15.0,,12700,2024-03-04,,,2024-03-01,5,2024-03-01 13:42:00-->2024-03-01 15:18:00,2024-03-01,127,96,"6,000","8,000",FPｼｮ-ﾄLT2,,,
25804921000,,15.0,,25400,2024-03-04,,,2024-03-01,6,2024-03-01 15:48:00-->2024-03-01 18:59:00,2024-03-01,254,191,"6,000","8,000",MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,,
25280921830,,15,,12700,2022-06-30,K-202206-1999,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,2024-03-01,7,2024-03-01 19:29:00-->2024-03-01 19:31:00,2024-03-02,2,2,"6,400","8,000",ﾏｲﾙﾄﾞﾌｱﾂﾄDX(S),,,
25120028830,,15.0,,25400,2024-03-04,,副原料無添,2024-03-04,1,2024-03-04 07:20:00-->2024-03-04 10:31:00,2024-03-04,305,191,"5,000","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,
25105621000,,15.0,,6000,2024-03-04,,,2024-03-04,2,2024-03-04 10:51:00-->2024-03-04 11:36:00,2024-03-04,72,45,"5,000","8,000",ﾊﾟﾈﾘ-PV(12),,,
25118721830,,15.0,,6000,2024-03-04,,,2024-03-04,3,2024-03-04 11:56:00-->2024-03-04 12:41:00,2024-03-04,63,45,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,
25130921830,,15.0,,6000,2024-03-04,,,2024-03-04,4,2024-03-04 13:01:00-->2024-03-04 13:46:00,2024-03-04,63,45,"5,800","8,000",ｼｮｰﾄﾆﾝｸﾞAM DIR(S),,,
25326521000,,15.0,,12700,2024-03-04,,,2024-03-04,5,2024-03-04 14:06:00-->2024-03-04 15:42:00,2024-03-04,153,96,"5,000","8,000",ﾊﾟﾈﾘ-PV(F),,,
25284921850,,10.0,,6000,2024-03-04,,,2024-03-04,6,2024-03-04 16:02:00-->2024-03-04 17:09:00,2024-03-04,75,67,"4,800","5,400",ﾁｴｽﾀ- EF(M),,,
25224321030,,15.0,,12700,2024-03-04,,,2024-03-04,7,2024-03-04 17:29:00-->2024-03-04 19:11:00,2024-03-04,142,102,"5,400","7,500",PVｼｮｰﾄ(B) (3),,,
25118721810,,15.0,,4000,2024-03-04,,,2024-03-04,8,2024-03-04 19:31:00-->2024-03-04 20:01:00,2024-03-04,42,30,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF(SS),,,
25120028830,,15.0,,38100,2024-03-07,,副原料無添,2024-03-07,1,2024-03-07 07:20:00-->2024-03-07 12:06:00,2024-03-07,458,286,"5,000","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,,
25224621030,,15.0,,5000,2024-03-07,,,2024-03-07,2,2024-03-07 12:26:00-->2024-03-07 13:04:00,2024-03-07,69,38,"4,400","8,000",ｱﾙｽﾀ-ｼｮｰﾄﾆﾝｸﾞ (3),,,
26611121000,,15.0,,12700,2024-03-07,,,2024-03-07,3,2024-03-07 13:34:00-->2024-03-07 15:10:00,2024-03-07,121,96,"6,300","8,000",ｸﾗｳﾝﾗ-ﾄﾞ#100K(ﾀﾞﾝ),,,
26632521020,,15.0,,6000,2024-03-07,,,2024-03-07,4,2024-03-07 15:30:00-->2024-03-07 16:15:00,2024-03-07,60,45,"6,000","8,000",ｸﾗｳﾝ ﾗ-ﾄﾞ#300(ﾀﾞﾝ),,,
25566421000,,15.0,,12700,2024-03-07,,,2024-03-07,5,2024-03-07 16:45:00-->2024-03-07 18:21:00,2024-03-07,153,96,"5,000","8,000",FCｼｮｰﾄﾆﾝｸﾞ,,,
25282821000,,15.0,,10000,2024-03-07,,,2024-03-07,6,2024-03-07 18:51:00-->2024-03-07 20:06:00,2024-03-07,100,75,"6,000","8,000",ﾘｽｵｲﾙ,,,
25804821000,,15.0,,12700,2024-03-11,,,2024-03-07,7,2024-03-07 20:26:00-->2024-03-07 22:02:00,2024-03-08,123,96,"6,200","8,000",MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(H),,,
25716121850,,15.0,,10000,2024-03-11,,,2024-03-08,1,2024-03-08 07:20:00-->2024-03-08 08:46:00,2024-03-11,0,86,-,"7,000",ｼﾞｴﾐﾆNTR(M),,,
25761221000,,15.0,,10000,2024-03-11,,,2024-03-08,2,2024-03-08 09:06:00-->2024-03-08 10:26:00,2024-03-11,0,80,-,"7,500",ﾌｱﾝﾄﾑ950N,,,
25306521830,,10.0,,12700,2024-03-09,,,2024-03-08,3,2024-03-08 11:56:00-->2024-03-08 14:18:00,2024-03-08,189,142,"4,050","5,400",ﾘｽﾌﾚ-ﾃSP-Ⅱ(S),,,
25804921000,,15.0,,25400,2024-03-11,,,2024-03-08,4,2024-03-08 14:48:00-->2024-03-08 17:59:00,2024-03-08,254,191,"6,000","8,000",MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,,
25224321030,,15.0,,12700,2024-03-11,,,2024-03-08,5,2024-03-08 18:29:00-->2024-03-08 20:11:00,2024-03-11,142,102,"5,400","7,500",PVｼｮｰﾄ(B) (3),,,
25224321030,,15.0,,12700,2024-03-11,,,2024-03-08,6,2024-03-08 20:31:00-->2024-03-08 22:13:00,2024-03-11,142,102,"5,400","7,500",PVｼｮｰﾄ(B) (3),,,
25326721000,,15.0,,24000,2024-03-11,,次ﾊﾞｯﾁｲﾄｳIK-NTを必ず組むこと｡,2024-03-11,1,2024-03-11 07:20:00-->2024-03-11 10:20:00,2024-03-11,249,180,"5,800","8,000",MCｼｮｰﾄ(F),,,
25244422870,,15.0,,12700,2024-03-11,,,2024-03-11,2,2024-03-11 10:40:00-->2024-03-11 12:16:00,2024-03-11,153,96,"5,000","8,000",ｲﾄｳIK-NT(H),,,
25118721830,,15.0,,6000,2024-03-11,,,2024-03-11,3,2024-03-11 12:36:00-->2024-03-11 13:21:00,2024-03-11,63,45,"5,800","8,000",ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,,
