繰上不可(×）,依頼日,品目コード,入目,予定数量(㎏),納期,チケットＮＯ,品名,入れ目,荷姿,SVライン,SV流量(㎏/h),SPライン,SP流量(㎏/h),アレルゲン,初回限定,最終限定,KI製品,テンパリング,窒素ガス,沃素価,バッチ制限,MO-7S配合,リパック,特記事項,nouki_copy,KI,SP_time_taken,SV_time_taken,slot,チケットNO,ライン,予定数量,備考,流速,生産日,順番
,,25217621380,15.0,,2024-03-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-03-29,×,45.0,45.0,,,,6000.0,,,,
,,25217621380,15.0,,2024-04-17,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-17,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-05-13,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-13,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-04-22,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-22,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-04-30,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-04-30,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-05-20,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-20,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-05-27,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-05-27,×,96.0,96.0,,,,12700.0,,,,
,,25217621380,15.0,,2024-06-06,,ｻﾝﾄﾞｼｮｰﾄNT (38ﾟC),,,,,,,,,,,,,低,,,×,,2024-06-06,×,96.0,96.0,,,,12700.0,,,,
,,25719121870,15.0,,2024-02-15,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-02-14,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-02-26,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-02-23,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-04-15,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-12,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-04-08,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-05,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-04-18,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-04-17,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-05-08,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-05-07,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
,,25719121870,15.0,,2024-06-03,,ｻﾝﾄﾞｸﾘ-ﾑMTR(ｽﾄﾚﾂﾁ)H,,,,,,,,,〇,,〇,,,,,○,,2024-05-31,×,153.0,153.0,,,,12700.0,ﾊｲDXﾌｧｯﾄ→ｻﾝﾄﾞｸﾘｰﾑMTR→ﾏｲﾙﾄﾞﾌｧｯﾄDXの順で連続可能｡,,,
