品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25120028870,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,15.0,,,,×,〇,,×,12700,2024-03-04,,副原料無添,2024-03-01,1,2024-03-01 07:20:00-->2024-03-01 09:53:00,2024-03-04,〇,×,A,153,96,"5,000","8,000",2024-03-01 07:20:00,2024-03-01 09:53:00,Friday
25800421870,MB-ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(H),,15.0,,,,×,〇,,×,12700,2024-03-02,,副原料無添,2024-03-01,2,2024-03-01 10:13:00-->2024-03-01 12:20:00,2024-03-01,〇,×,A,127,96,"6,000","8,000",2024-03-01 10:13:00,2024-03-01 12:20:00,Friday
348999PT,MB-PｼｮｰﾄCF(H)ｱｶｼｹﾞﾝ,,15.0,,,,×,〇,,,12700,2024-03-01,,副原料無添,2024-03-01,3,2024-03-01 12:40:00-->2024-03-01 15:13:00,2024-03-01,〇,,A,153,96,"5,000",8000,2024-03-01 12:40:00,2024-03-01 15:13:00,Friday
25222522060,ﾊﾟﾈﾘ-ｼｮｰﾄST-2-TL(38),,20.0,,〇,,×,,,×,5000,2024-03-07,,,2024-03-01,4,2024-03-01 15:33:00-->2024-03-01 16:29:00,2024-03-06,〇,×,A,56,38,"5,400","8,000",2024-03-01 15:33:00,2024-03-01 16:29:00,Friday
25244822000,ﾊｲﾒﾛ-ｼｮｰﾄLT-2(DIR),,15.0,,〇,,×,,,×,12700,2024-03-06,,,2024-03-01,5,2024-03-01 16:59:00-->2024-03-01 19:18:00,2024-03-05,,×,A,139,96,"5,500","8,000",2024-03-01 16:59:00,2024-03-01 19:18:00,Friday
25719621870,AKK-Ⅱ(H),,15.0,,,低,×,,,×,9000,2024-03-04,,,2024-03-01,6,2024-03-01 19:38:00-->2024-03-01 21:08:00,2024-03-04,,×,A,90,68,"6,000","8,000",2024-03-01 19:38:00,2024-03-01 21:08:00,Friday
25272711000,ﾌﾗｲｵｲﾙ-MK,,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-04,1,2024-03-04 07:20:00-->2024-03-04 09:36:00,2024-03-04,,×,A,136,0,"5,400","7,500",2024-03-04 07:20:00,2024-03-04 09:36:00,Monday
25747111000,SBｵｲﾙR,,16.0,,,,×,,,×,12200,2024-03-04,,,2024-03-04,2,2024-03-04 09:56:00-->2024-03-04 11:53:00,2024-03-04,,×,A,117,0,"6,300","7,500",2024-03-04 09:56:00,2024-03-04 11:53:00,Monday
25800311000,MB-ｱﾒﾘｶ-ﾅDX-TL,,16.0,,,,×,,,×,12200,2024-03-04,,,2024-03-04,3,2024-03-04 12:13:00-->2024-03-04 14:20:00,2024-03-04,,×,A,127,0,"5,800","7,500",2024-03-04 12:13:00,2024-03-04 14:20:00,Monday
26611111000,ｸﾗｳﾝﾗ-ﾄﾞ #100K,,15.0,,,,×,,,×,12200,2024-03-04,,,2024-03-04,4,2024-03-04 14:40:00-->2024-03-04 16:40:00,2024-03-04,,×,A,120,0,"6,100","8,000",2024-03-04 14:40:00,2024-03-04 16:40:00,Monday
