品目コード,品名,ライン,入目,流速,テンパリング,沃素価,KI製品,初回限定,最終限定,リパック,予定数量(㎏),納期,チケットＮＯ,備考,生産日,順番,slot,nouki_copy,窒素ガス,MO-7S配合,アレルゲン,SP_time_taken,SV_time_taken,SP_rate/hr,SV_rate/hr,start,end,day
25120028830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,15.0,,,,×,〇,,×,25400,2024-03-04,,副原料無添,2024-03-01,1,2024-03-01 07:20:00-->2024-03-01 10:31:00,2024-03-04,〇,×,A,305,191,"5,000","8,000",2024-03-01 07:20:00,2024-03-01 10:31:00,Friday
25244422870,ｲﾄｳIK-NT(H),,15.0,,,,×,,,×,12700,2024-03-02,,,2024-03-01,2,2024-03-01 10:51:00-->2024-03-01 12:27:00,2024-03-01,〇,×,A,153,96,"5,000","8,000",2024-03-01 10:51:00,2024-03-01 12:27:00,Friday
25212222850,ﾁｴｽﾀ-88-TL(M),,15.0,,〇,,×,,,×,6000,2024-03-04,,,2024-03-01,3,2024-03-01 12:47:00-->2024-03-01 13:54:00,2024-03-01,〇,×,A,60,67,"6,000","5,400",2024-03-01 12:47:00,2024-03-01 13:54:00,Friday
25230924890,ﾁｴｽﾀ-2000 10K (HH),,10.0,,〇,,×,,,×,6000,2024-03-04,,,2024-03-01,4,2024-03-01 14:14:00-->2024-03-01 15:21:00,2024-03-01,〇,×,A,75,67,"4,800","5,400",2024-03-01 14:14:00,2024-03-01 15:21:00,Friday
25710721000,FPｼｮ-ﾄLT2,,15.0,,〇,,×,,,○,12700,2024-03-04,,,2024-03-01,5,2024-03-01 15:41:00-->2024-03-01 17:17:00,2024-03-01,〇,×,A,127,96,"6,000","8,000",2024-03-01 15:41:00,2024-03-01 17:17:00,Friday
25804921000,MB-ｻﾝﾄﾞｼｮｰﾄDX-TL(M),,15.0,,〇,,×,,,×,25400,2024-03-04,,,2024-03-01,6,2024-03-01 17:47:00-->2024-03-01 20:58:00,2024-03-01,,×,A,254,191,"6,000","8,000",2024-03-01 17:47:00,2024-03-01 20:58:00,Friday
25120028830,ﾌﾟﾚﾐｱﾑｼｮｰﾄ-CF(S),,15.0,,,,×,〇,,×,38100,2024-03-07,,副原料無添,2024-03-04,1,2024-03-04 07:20:00-->2024-03-04 12:06:00,2024-03-07,〇,×,A,458,286,"5,000","8,000",2024-03-04 07:20:00,2024-03-04 12:06:00,Monday
25105621000,ﾊﾟﾈﾘ-PV(12),,15.0,,,,×,,,×,6000,2024-03-04,,,2024-03-04,2,2024-03-04 12:26:00-->2024-03-04 13:11:00,2024-03-04,〇,×,A,72,45,"5,000","8,000",2024-03-04 12:26:00,2024-03-04 13:11:00,Monday
25118721830,ﾌﾟﾚﾐｱﾑｼｮｰﾄPV-ADF (S),,15.0,,,,×,,,×,6000,2024-03-04,,,2024-03-04,3,2024-03-04 13:31:00-->2024-03-04 14:16:00,2024-03-04,〇,×,A,63,45,"5,800","8,000",2024-03-04 13:31:00,2024-03-04 14:16:00,Monday
25130921830,ｼｮｰﾄﾆﾝｸﾞAM DIR(S),,15.0,,,,×,,,×,6000,2024-03-04,,,2024-03-04,4,2024-03-04 14:36:00-->2024-03-04 15:21:00,2024-03-04,〇,×,A,63,45,"5,800","8,000",2024-03-04 14:36:00,2024-03-04 15:21:00,Monday
25326521000,ﾊﾟﾈﾘ-PV(F),,15.0,,,,×,,,×,12700,2024-03-04,,,2024-03-04,5,2024-03-04 15:41:00-->2024-03-04 17:17:00,2024-03-04,〇,×,A,153,96,"5,000","8,000",2024-03-04 15:41:00,2024-03-04 17:17:00,Monday
